database,concurrency,throughput_qps,read_p50_ms,read_p95_ms,write_p50_ms,write_p95_ms,total_operations,successful_operations,failed_operations,error_rate,retryable_conflicts
cognodb,1,0.972,705.871,2624.052,756.997,2889.824,31,31,0,0.0,0
cognodb,10,2.032,4518.731,4750.629,6196.767,8944.432,72,72,0,0.0,0
cognodb,40,3.12,11119.814,16766.808,11148.472,16717.681,120,120,0,0.0,0
neo4j,1,0.957,273.056,2942.019,1593.526,3068.774,29,29,0,0.0,0
neo4j,10,6.161,1003.583,4515.489,1599.942,11494.764,189,189,0,0.0,0
neo4j,40,7.103,4575.929,7100.106,7099.164,16434.852,240,240,0,0.0,0
memgraph,1,41.93,21.297,32.637,21.91,32.565,1259,1259,0,0.0,0
memgraph,10,236.386,36.94,69.754,38.327,72.156,7101,7101,0,0.0,0
memgraph,40,251.48,120.363,340.009,118.337,397.72,7781,7781,0,0.0,0
falkordb,1,80.769,11.043,17.219,0.0,0.0,3032,2424,608,0.2005,0
falkordb,10,351.046,23.617,52.872,0.0,0.0,13188,10548,2640,0.2002,0
falkordb,40,641.275,48.621,73.294,0.0,0.0,71430,19291,52139,0.7299,0
arangodb,1,20.712,47.231,52.149,49.75,65.148,622,622,0,0.0,0
arangodb,10,197.468,48.773,59.733,50.014,63.575,5935,5935,0,0.0,0
arangodb,40,0.0,0.0,0.0,0.0,0.0,20123,0,20123,1.0,0
